
"5011000014575",31.111525,121.258141,"泗泾","松江","同润菲诗艾伦",4,"40223","90"
"5011000012357",31.000021,121.452144,"西渡","奉贤","新南家园",6,"31685","87"
"5011102207146",31.11265928,121.2400431,"泗泾","松江","新凯家园",1,"38416","87"
"5011000017528",31.144155,121.571294,"康桥","浦东","绿地康桥新苑",12,"52304","86"
"5011000010440",31.291724,121.601825,"金桥","浦东","双桥小区",10,"68310","85"
"5011000014038",31.140188,121.234837,"赵巷","青浦","龙湖滟澜山（公寓）",6,"63508","84"
"5011000014093",31.155467,121.32503,"九亭","松江","九城湖滨国际",7,"52125","82"
"5011000012867",30.936406,121.474944,"南桥","奉贤","绿地南桥新苑",6,"40707","81"
"5011000019388",30.912518,121.461615,"南桥","奉贤","江海新村",116,"23657","80"
"5011000010389",30.92095379,121.4974213,"南桥","奉贤","绿地望海新都",4,"26136","79"
"5011000013848",31.321122,121.356096,"上大","宝山","绿地领海（商住）",4,"21037","78"
"5011000003514",31.04080409,121.2539217,"松江新城","松江","锋尚99",4,"26012","77"
"5011000013979",30.919552,121.480571,"南桥","奉贤","正阳世纪星城",4,"36723","76"
"5011000013437",31.000185,121.435131,"西渡","奉贤","鸿宝一村",2,"31658","76"
"5011000011804",31.330734,121.260313,"嘉定新城","嘉定","龙湖郦城（公寓）",4,"39756","74"
"5011000014071",31.153101,121.31917,"九亭","松江","绿庭尚城",3,"47804","74"
"5011000018191",31.211494,121.539738,"杨东","浦东","上海绿城",9,"90523","72"
"5011102210440",31.35516788,121.3681228,"顾村","宝山","好日子大家园",116,"43838","72"
"5011000012453",31.03977874,121.7705756,"惠南","浦东","布鲁斯小镇（公寓）",3,"34987","71"
"5011000018313",31.16664947,121.3513579,"七宝","闵行","万科城市花园",18,"49918","71"
"5011000005240",31.308129,121.331985,"南翔","嘉定","旭辉U天地",2,"34850","62"
"5011000015365",31.285771,121.424674,"大华","宝山","文华苑（宝山）",16,"53017","61"
"5011000017860",31.236233,121.514066,"陆家嘴","浦东","仁恒滨江园",13,"104176","61"
"5011000017309",31.306068,121.614341,"高行","浦东","幸福小镇（公寓）",10,"55024","61"
"5011000018078",31.234486,121.461215,"南京西路","静安","骏豪国际",12,"84438","61"
"5011000004689",31.217388,121.544671,"杨东","浦东","香梅花园",5,"83554","61"
"5011102207525",31.268102,121.15232,"白鹤","青浦","绿地时代名邸",116,"28032","60"
"5011000014777",31.254526,121.586328,"金杨","浦东","金杨七街坊",21,"55834","59"
"5011000016116",31.128742,121.346888,"九亭","松江","三盛颐景园（公寓）",8,"41496","59"
"5011000013618",31.3586347,121.4365694,"共富","宝山","共富一村",10,"43250","59"
"5011000012017",31.15304,121.323375,"九亭","松江","贝尚湾（公寓）",4,"57500","58"
"5011000015425",31.23972158,121.5305678,"源深","浦东","梅园三街坊",31,"103786","58"
"5011000013344",31.31238769,121.5934244,"金桥","浦东","金地未未来",7,"82359","58"
"5011000013460",31.245508,121.330555,"江桥","嘉定","万达广场（嘉定）",5,"24856","58"
"5011000005174",31.11025919,121.4921665,"浦江","闵行","万科早城",3,"26304","58"
"5011000018020",31.250006,121.594161,"碧云","浦东","金桥酒店公寓",11,"73012","57"
"5011000017696",31.39149027,121.448309,"杨行","宝山","万科四季花城（公寓）",7,"45563","57"
"5011102206965",31.10103285,121.4027955,"颛桥","闵行","银都新村（1至7区）",16,"47353","57"
"5011000015822",31.28564,121.503674,"鞍山","杨浦","密云小区",20,"80775","57"
"5011000010599",31.035759,121.64498,"新场","浦东","汇锦城（公寓）",3,"35313","56"
"5011000017872",31.227414,121.520399,"陆家嘴","浦东","世茂滨江花园",7,"90238","198"
"5011000009003",30.917494,121.496476,"南桥","奉贤","卓越世纪中心（奉贤）",2,"22972","192"
"5011102207057",31.10631595,121.362808,"莘庄","闵行","上海康城",8,"39913","187"
"5011000014141",31.259226,121.451405,"中远两湾城","普陀","中远两湾城",10,"73080","166"
